id,sku,name,slug,brand_id,category_id
36,harley_benton_delta_blues_t.htm,Harley Benton Delta Blues T,harley-benton-delta-blues-t-htm,18,31
37,hoefner_shorty_violin_guitar_black.htm,Höfner Shorty Violin Guitar Black,hoefner-shorty-violin-guitar-black-htm,22,0
38,traveler_guitars_pro_series_mod_x_matte_black.htm,Traveler Guitar Pro Series Mod X - Matte Black,traveler-guitars-pro-series-mod-x-matte-black-htm,74,31
40,hoefner_shorty_bass_root_beer.htm,Höfner Shorty Bass Root Beer,hoefner-shorty-bass-root-beer-htm,22,10
43,steinberger_guitars_gt_pro_deluxe_hr.htm,Steinberger Guitars Gt-Pro Deluxe HR,steinberger-guitars-gt-pro-deluxe-hr-htm,76,0
44,steinberger_guitars_spirit_xt2_standard_bass_bk.htm,Steinberger Guitars Spirit XT-2 Standard Bass BK,steinberger-guitars-spirit-xt2-standard-bass-bk-htm,76,10
45,steinberger_guitars_gt_pro_deluxe_fb.htm,Steinberger Guitars Gt-Pro Deluxe FB,steinberger-guitars-gt-pro-deluxe-fb-htm,76,0
46,journey_instruments_ot990bl_travel_t_style_blue.htm,Journey Instruments OT990BL Travel T-Style Blue,journey-instruments-ot990bl-travel-t-style-blue-htm,69,31
47,furch_pioneer_er.htm,Furch Pioneer-ER a,furch-pioneer-er-htm,44,31
48,steinberger_guitars_spirit_xt_2_standard_bass_hy.htm,Steinberger Guitars Spirit XT-2 Standard Bass HY,steinberger-guitars-spirit-xt-2-standard-bass-hy-htm,76,10
49,flight_mini_bass_tbl_solid_body.htm,Flight Mini Bass TBL Solid Body,flight-mini-bass-tbl-solid-body-htm,77,10
50,steinberger_guitars_gt_pro_deluxe_hy.htm,Steinberger Guitars GT-Pro Deluxe HY,steinberger-guitars-gt-pro-deluxe-hy-htm,76,0
52,harley_benton_gs_travel_e_lh_mahogany.htm,Harley Benton GS-Travel-E LH Mahogany,harley-benton-gs-travel-e-lh-mahogany-htm,18,31
56,furch_lj_10sm_spruce_little_jane.htm,Furch LJ 10-SM Spruce Little Jane,furch-lj-10sm-spruce-little-jane-htm,44,31
58,martin_guitars_steel_string_backpacker_lh.htm,Martin Guitar Steel String Backpacker LH,martin-guitars-steel-string-backpacker-lh-htm,9,31
59,steinberger_guitars_spirit_xt_2_standard_bass_fb.htm,Steinberger Guitars Spirit XT-2 Standard Bass FB,steinberger-guitars-spirit-xt-2-standard-bass-fb-htm,76,10
61,traveler_electric_ultra_light_maple.htm,Traveler Guitar Electric Ultra-Light Maple,traveler-electric-ultra-light-maple-htm,74,31
62,harley_benton_gs_travel_mahogany.htm,Harley Benton GS-Travel Mahogany,harley-benton-gs-travel-mahogany-htm,18,31
68,traveler_guitar_tb_4p_bass_sbt.htm,Traveler Guitar TB-4P Bass SBT,traveler-guitar-tb-4p-bass-sbt-htm,74,31
69,taylor_baby_mahogany_bt2.htm,Taylor Baby Mahogany BT,taylor-baby-mahogany-bt2-htm,10,31
70,journey_instruments_oe990cb_travel_el._guitar_cb.htm,Journey Instruments OE990CB Travel El. Guitar CB,journey-instruments-oe990cb-travel-el--guitar-cb-htm,69,31
75,traveler_guitar_ultra_light_acoustic_maple.htm,Traveler Guitar Ultra Light Acoustic Maple,traveler-guitar-ultra-light-acoustic-maple-htm,74,31
82,harley_benton_gs_travel_e_mahogany.htm,Harley Benton GS-Travel-E Mahogany,harley-benton-gs-travel-e-mahogany-htm,18,31
89,taylor_bt_koa_baby_taylor.htm,Taylor BT-KOA Baby Taylor,taylor-bt-koa-baby-taylor-htm,10,31
90,furch_lj_11_sr_little_jane.htm,Furch LJ 11-SR Little Jane,furch-lj-11-sr-little-jane-htm,44,31
91,traveler_guitar_tb_4p_bass_sbt.htm,Traveler Guitar TB-4P Bass SBT,traveler-guitar-tb-4p-bass-sbt-htm,74,10
94,traveler_guitars_ultra_light_nylon_natur.htm,Traveler Guitar Ultra Light Nylon Natural,traveler-guitars-ultra-light-nylon-natur-htm,74,31
